,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,25,Apostado,%,Ganancia,%,EGMs,2026,Apostado,%,Ganancia,%,EGMs
,,,Enero,"486214788,4",-,"37437955,8",-,77,Enero,"$648,292,550.05",%33.33,"50388677,08","648292550,1",71
,,,Febrero,"489197693,4",-,"36079627,18",-,77,Febrero,"$588,233,432.10",%20.24,"42653916,68","588233432,1",71
,,,Marzo,"551681346,9",-,"41959494,87",-,77,Marzo,"$588,348,059.35",%6.65,"42427855,04","588348059,4",71
,,,Abril,"536509217,1",-,"40039028,09",-,77,Abril,"$569,324,352.96",%6.12,"43878668,65",569324353,71
,,,Mayo,"584624528,1",-,"44957564,32",-,78.75,Mayo,"$553,838,836.90",%-5.27,"39345142,64","553838836,9",71
,,,Junio,"545488007,7",-,"38465233,29",-,77,Junio,"$566,215,659.38",%3.80,"41649900,86","566215659,4",71.87
,,,Julio,"576368253,4",-,"46107599,21",-,77,Julio,"$527,843,025.39",%-8.42,"43838540,05","527843025,4",73
,,,Agosto,"595844474,6",-,"42512621,64",-,77,Agosto,"$362,756,810.07",%-39.12,"25087979,36","362756810,1",44.75
,,,Septiembre,"545406176,1",-,"36254560,6",-,77,Septiembre,$0.00,-,0,0,0
,,,Octubre,"468162907,3",-,"34462941,9",-,76.42,Octubre,$0.00,-,0,0,0
,,,Noviembre,"574097180,1",-,"40666969,94",-,71,Noviembre,$0.00,-,0,0,0
,,,Diciembre,"626789337,7",-,"39943373,49",-,71,Diciembre,$0.00,-,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,2025,Apostado,%,Ganancia,%,EGMs,2026,Apostado,%,Ganancia,%,EGMs
,,,Enero,"$701,124,179.18",-,"49881518,48","701124179,2",103,Enero,"$1,089,407,585.88",%55.38,"80044956,84",1089407586,93
,,,Febrero,"$634,614,559.68",-,"44374863,51","634614559,7",103,Febrero,"$916,337,664.01",%44.39,"63980170,19",916337664,93
,,,Marzo,"$708,288,324.24",-,"51345652,25","708288324,2",103,Marzo,"$911,969,741.86",%28.76,"66591204,92","911969741,9",93
,,,Abril,"$597,732,327.45",-,"46757935,93","597732327,5",93,Abril,"$805,070,143.51",%34.69,"61681596,17","805070143,5",93
,,,Mayo,"$718,010,088.73",-,"52486770,52","718010088,7",93,Mayo,"$868,609,890.80",%20.97,"60873397,09","868609890,8",93
,,,Junio,"$786,109,957.83",-,"60921042,13","786109957,8",93,Junio,"$786,320,391.34",%0.03,"63694734,77","786320391,3",93
,,,Julio,"$934,780,611.33",-,"64516144,01","934780611,3",93,Julio,"$998,238,128.52",%6.79,"71205475,64","998238128,5",93
,,,Agosto,"$961,627,350.51",-,"59843562,42","961627350,5",93,Agosto,"$701,937,926.63",%-27.01,"44574172,12","701937926,6",57
,,,Septiembre,"$980,131,977.45",-,"68296993,89","980131977,5",94.34,Septiembre,$0.00,-,$0.00,-,0
,,,Octubre,"$861,708,278.52",-,"52403610,85","861708278,5",94.94,Octubre,$0.00,-,$0.00,-,0
,,,Noviembre,"$888,148,502.00",-,"63003629,22",888148502,93,Noviembre,$0.00,-,$0.00,-,0
,,,Diciembre,"$914,161,318.63",-,"63676320,74","914161318,6",93,Diciembre,$0.00,-,$0.00,-,0
