SUCURSAL,AÑO,MES,RAM,APUESTAS,%,EGMS
CURUZU CUATIA,2018,Enero,"3294754,18","54080940,68","93,91%",139
CURUZU CUATIA,2018,Febrero,"3089784,39","48744552,36","93,66%",126
CURUZU CUATIA,2018,Marzo,"3429902,74","58430721,74","94,13%",140
CURUZU CUATIA,2018,Abril,"3182124,03","53797465,81","94,08%",136
CURUZU CUATIA,2018,Mayo,"3040164,69","48865282,7","93,78%",141
CURUZU CUATIA,2018,Junio,"3150964,41","56763273,02","94,45%",136
CURUZU CUATIA,2018,Julio,"3962886,02","64669054,32","93,87%",131
CURUZU CUATIA,2018,Agosto,"3470845,62","54496983,53","93,63%",126
CURUZU CUATIA,2018,Septiembre,"3373955,8","53453801,04","93,69%",121
CURUZU CUATIA,2018,Octubre,"3469129,82","50476415,17","93,13%",122
CURUZU CUATIA,2018,Noviembre,"3483958,08","53296028,21","93,46%",119
CURUZU CUATIA,2018,Diciembre,"4128969,6","66125867,83","93,76%",124
CURUZU CUATIA,2019,Enero,"3915057,02","59128920,04","93,38%",124
CURUZU CUATIA,2019,Febrero,"3125668,63","50072264,68","93,76%",112
CURUZU CUATIA,2019,Marzo,"4306713,56","67850148,43","93,65%",125
CURUZU CUATIA,2019,Abril,"4262469,22","62977934,62","93,23%",123
CURUZU CUATIA,2019,Mayo,"4374955,12","63544027,7","93,12%",127
CURUZU CUATIA,2019,Junio,"4799555,27","68806675,97","93,02%",123
CURUZU CUATIA,2019,Julio,"5038515,21","65064590,36","92,26%",127
CURUZU CUATIA,2019,Agosto,"4425844,27","58870597,01","92,48%",127
CURUZU CUATIA,2019,Septiembre,"4406622,12","62329357,7","92,93%",123
CURUZU CUATIA,2019,Octubre,"4679660,88","64850772,45","92,78%",127
CURUZU CUATIA,2019,Noviembre,"4489888,11","59645576,12","92,47%",123
CURUZU CUATIA,2019,Diciembre,"5432729,36","108885968,2","95,01%",127
CURUZU CUATIA,2020,Enero,"5725563,17","77000083,18","92,56%",127
CURUZU CUATIA,2020,Febrero,"5373979,55","76714867,24","92,99%",119
CURUZU CUATIA,2020,Marzo,"2590472,46","35770608,03","92,76%",127
CURUZU CUATIA,2020,Abril,0,0,,123
CURUZU CUATIA,2020,Mayo,0,0,,127
CURUZU CUATIA,2020,Junio,0,0,,123
CURUZU CUATIA,2020,Julio,0,0,,127
CURUZU CUATIA,2020,Agosto,0,0,,127
CURUZU CUATIA,2020,Septiembre,0,0,,123
CURUZU CUATIA,2020,Octubre,"$36.355,52","$422.111,75","91,39%",127
CURUZU CUATIA,2020,Noviembre,"$1.985.703,57","$24.839.391,28","92,01%",123
CURUZU CUATIA,2020,Diciembre,"$2.733.062,66","$40.028.366,44","93,17%",127
CURUZU CUATIA,2021,Enero,"$3.213.131,56","$42.394.233,85","92,42%",127
CURUZU CUATIA,2021,Febrero,"$3.400.214,05","$46.336.005,46","92,66%",115
CURUZU CUATIA,2021,Marzo,"$1.928.495,81","$30.966.483,89","93,77%",127
CURUZU CUATIA,2021,Abril,"$2.387.337,94","$32.401.033,34","92,63%",123
CURUZU CUATIA,2021,Mayo,"$1.413.800,12","$23.220.323,53","93,91%",127
CURUZU CUATIA,2021,Junio,"$843.943,55","$12.006.335,62","92,97%",122
CURUZU CUATIA,2021,Julio,"$4.951.820,10","$64.321.867,79","92,30%",127
CURUZU CUATIA,2021,Agosto,"$5.160.182,76","$72.330.605,82","92,87%",127
CURUZU CUATIA,2021,Septiembre,"$5.512.316,24","$72.932.239,19","92,44%",123
CURUZU CUATIA,2021,Octubre,"$7.274.067,86","$103.488.882,89","92,97%",127
CURUZU CUATIA,2021,Noviembre,"$7.312.865,63","$98.227.131,52","92,56%",123
CURUZU CUATIA,2021,Diciembre,"$8.694.118,22","$119.272.114,39","92,71%",127
CURUZU CUATIA,2022,Enero,"$8.288.356,54","$97.373.790,43","91,49%",127
CURUZU CUATIA,2022,Febrero,"$8.130.315,61","$95.100.670,63","91,45%",114
CURUZU CUATIA,2022,Marzo,"$9.099.358,69","$118.075.429,35","92,29%",125
CURUZU CUATIA,2022,Abril,"$11.113.805,98","$134.256.668,31","91,72%",121
CURUZU CUATIA,2022,Mayo,"$11.629.280,24","$131.701.480,57","91,17%",125
CURUZU CUATIA,2022,Junio,"$12.305.370,25","$162.775.079,78","92,44%",121
CURUZU CUATIA,2022,Julio,"$15.736.391,23","$194.396.157,23","91,90%",125
CURUZU CUATIA,2022,Agosto,"$13.076.446,92","$173.251.303,50","92,45%",125
CURUZU CUATIA,2022,Septiembre,"$14.540.337,64","$188.420.625,01","92,28%",121
CURUZU CUATIA,2022,Octubre,"$14.075.718,89","$199.666.049,40","92,95%",125
